"","LF.Season","LF.Name","LF.Team.x","LF.G","LF.AB","LF.PA","LF.H","LF.B1","LF.B2","LF.B3","LF.HR","LF.R","LF.RBI","LF.BB","LF.IBB","LF.SO","LF.HBP","LF.SF","LF.SH","LF.GDP","LF.SB","LF.CS","LF.AVG","LF.BB_perc","LF.K_perc","LF.ISO","LF.BABIP","LF.OBP","LF.SLG","LF.wOBA","LF.wRC.","LF.BsR","LF.Off","LF.WAR","LF.Team.y","LF.Position","LF.score","LF.perPA","LF.perAB"
"34",2023,"Adam Frazier","BAL",141,412,455,99,63,21,2,13,59,60,32,0,68,4,2,4,4,11,4,0.24,0.07,0.149,0.155,0.258,0.3,0.396,0.302,93,2.1,-1.7,0.3,"BAL","LF",257,0.564835164835165,0.62378640776699
"35",2023,"Daulton Varsho","TOR",158,527,581,116,70,23,3,20,65,61,45,0,135,4,3,1,5,16,7,0.22,0.077,0.232,0.169,0.256,0.285,0.389,0.293,85,2.8,-7.5,2.1,"TOR","LF",257,0.442340791738382,0.487666034155598
"36",2023,"Luis Rengifo","LAA",126,394,445,104,69,15,4,16,55,51,41,0,82,6,4,0,3,6,4,0.264,0.092,0.184,0.18,0.293,0.339,0.444,0.339,114,0.1,7.6,1.9,"LAA","LF",246,0.552808988764045,0.624365482233503
"37",2023,"Randal Grichuk","2 Tms",118,434,471,116,67,31,2,16,65,44,29,2,96,6,2,0,11,2,2,0.267,0.062,0.204,0.191,0.309,0.321,0.459,0.333,100,-2.9,-2.6,0.7,"2 Tms","LF",245,0.520169851380042,0.564516129032258
"38",2023,"Jake Fraley","CIN",111,336,380,86,53,18,0,15,41,65,37,2,71,6,1,0,5,21,5,0.256,0.097,0.187,0.188,0.283,0.339,0.443,0.338,107,1.9,5.1,1.4,"CIN","LF",244,0.642105263157895,0.726190476190476
"39",2023,"Kerry Carpenter","DET",118,418,459,116,77,17,2,20,57,64,32,3,115,8,1,0,5,6,0,0.278,0.07,0.251,0.194,0.338,0.34,0.471,0.347,121,-0.1,11.7,2.2,"DET","LF",244,0.531590413943355,0.583732057416268
"40",2023,"Thairo Estrada","SFG",120,495,530,134,92,26,2,14,63,49,22,1,120,11,2,0,10,23,7,0.271,0.042,0.226,0.145,0.331,0.315,0.416,0.316,101,4.8,5.4,3.9,"SFG","LF",244,0.460377358490566,0.492929292929293
"41",2023,"Brent Rooker","OAK",137,463,526,114,63,20,1,30,61,69,49,1,172,10,4,0,11,4,0,0.246,0.093,0.327,0.242,0.317,0.329,0.488,0.348,127,0,17,2,"OAK","LF",238,0.452471482889734,0.514038876889849
"42",2023,"Christopher Morel","CHC",107,388,429,96,50,17,3,26,62,70,36,0,133,2,2,1,7,6,2,0.247,0.084,0.31,0.26,0.303,0.313,0.508,0.347,119,2.3,12.3,1.4,"CHC","LF",238,0.554778554778555,0.61340206185567
"43",2023,"Esteury Ruiz","OAK",132,449,497,114,84,24,1,5,47,47,20,1,99,16,1,4,7,67,13,0.254,0.04,0.199,0.091,0.315,0.309,0.345,0.29,86,9.2,1.1,1.2,"OAK","LF",238,0.47887323943662,0.530066815144766
"44",2023,"Joc Pederson","SFG",121,358,425,84,52,14,3,15,59,51,57,6,89,7,3,0,12,0,0,0.235,0.134,0.209,0.182,0.268,0.348,0.416,0.331,111,-1.2,4.4,0.6,"SFG","LF",233,0.548235294117647,0.650837988826816
"45",2023,"MJ Melendez","KCR",148,533,602,125,75,29,5,16,65,56,62,2,170,3,4,0,4,6,4,0.235,0.103,0.282,0.163,0.311,0.316,0.398,0.31,92,-0.9,-6.7,0,"KCR","LF",233,0.387043189368771,0.437148217636023
"46",2023,"Matt Vierling","DET",134,479,530,125,89,21,5,10,63,44,44,1,112,5,1,1,8,6,6,0.261,0.083,0.211,0.127,0.321,0.329,0.388,0.315,99,-0.7,-1.4,1.2,"DET","LF",232,0.437735849056604,0.484342379958246
"47",2023,"Jurickson Profar","2 Tms",125,459,521,111,73,27,2,9,55,46,50,0,90,6,5,0,11,1,0,0.242,0.096,0.173,0.126,0.279,0.321,0.368,0.304,76,-3,-18.4,-2,"2 Tms","LF",231,0.443378119001919,0.503267973856209
"48",2023,"Brandon Marsh","PHI",133,404,472,112,69,25,6,12,58,60,59,2,144,4,4,1,4,10,2,0.277,0.125,0.305,0.181,0.397,0.372,0.458,0.358,125,3.1,17.5,3.4,"PHI","LF",230,0.48728813559322,0.569306930693069
"49",2023,"Jordan Walker","STL",117,420,465,116,79,19,2,16,51,51,37,0,104,6,2,0,9,7,4,0.276,0.08,0.224,0.169,0.331,0.342,0.445,0.341,116,-1.2,8.1,0.2,"STL","LF",229,0.49247311827957,0.545238095238095
"50",2023,"Jason Heyward","LAD",124,334,377,90,52,23,0,15,56,40,34,1,64,3,3,0,7,2,2,0.269,0.09,0.17,0.204,0.291,0.34,0.473,0.348,121,-0.8,8.8,2.2,"LAD","LF",227,0.602122015915119,0.679640718562874
"51",2023,"Michael Conforto","SFG",125,406,470,97,68,14,0,15,58,58,53,4,106,7,4,0,12,4,0,0.239,0.113,0.226,0.145,0.284,0.334,0.384,0.315,100,0.6,0.6,1.1,"SFG","LF",227,0.482978723404255,0.559113300492611
"52",2023,"Enrique Hernández","2 Tms",140,465,508,110,76,23,0,11,57,61,34,1,97,3,6,0,17,4,1,0.237,0.067,0.191,0.12,0.273,0.289,0.357,0.282,72,-3.1,-20,-1.3,"LAD","LF",226,0.44488188976378,0.486021505376344
"53",2023,"Connor Joe","PIT",133,413,472,102,56,31,4,11,63,42,50,0,110,8,1,0,4,3,5,0.247,0.106,0.233,0.174,0.311,0.339,0.421,0.332,107,0.6,4.5,1.9,"PIT","LF",222,0.470338983050847,0.537530266343826
"54",2023,"Taylor Ward","LAA",97,356,409,90,58,18,0,14,60,47,39,0,80,8,6,0,9,4,2,0.253,0.095,0.196,0.169,0.284,0.335,0.421,0.329,107,-1.1,2.5,1.5,"LAA","LF",220,0.537897310513447,0.617977528089888
"55",2023,"Mike Tauchman","CHC",108,337,401,85,59,18,0,8,64,48,56,1,86,4,3,1,3,7,1,0.252,0.14,0.214,0.125,0.313,0.363,0.377,0.33,107,2.3,5.9,1.8,"CHC","LF",217,0.541147132169576,0.643916913946588
"56",2023,"Ryan O'Hearn","BAL",112,346,368,100,63,22,1,14,48,60,15,2,82,3,3,1,2,5,1,0.289,0.041,0.223,0.191,0.34,0.322,0.48,0.339,118,-0.4,7.7,1.4,"BAL","LF",214,0.581521739130435,0.61849710982659
"57",2023,"Edward Olivares","KCR",107,354,385,93,54,23,4,12,47,36,22,1,64,7,2,0,7,11,5,0.263,0.057,0.166,0.189,0.289,0.317,0.452,0.329,105,-0.6,1.6,0.4,"KCR","LF",213,0.553246753246753,0.601694915254237
