"","CF.Season","CF.Name","CF.Team.x","CF.G","CF.AB","CF.PA","CF.H","CF.B1","CF.B2","CF.B3","CF.HR","CF.R","CF.RBI","CF.BB","CF.IBB","CF.SO","CF.HBP","CF.SF","CF.SH","CF.GDP","CF.SB","CF.CS","CF.AVG","CF.BB_perc","CF.K_perc","CF.ISO","CF.BABIP","CF.OBP","CF.SLG","CF.wOBA","CF.wRC.","CF.BsR","CF.Off","CF.WAR","CF.Team.y","CF.Position","CF.score","CF.perPA","CF.perAB"
"87",2023,"Garrett Hampson","MIA",98,221,252,61,45,12,1,3,30,23,23,0,67,3,2,3,3,5,0,0.276,0.091,0.266,0.104,0.379,0.349,0.38,0.323,101,1.8,2.1,0.7,"MIA","CF",98,0.388888888888889,0.443438914027149
"88",2023,"Dairon Blanco","KCR",69,124,138,32,18,7,4,3,19,18,10,0,33,2,0,2,2,24,5,0.258,0.072,0.239,0.194,0.33,0.324,0.452,0.333,108,2.2,3.4,1.1,"KCR","CF",94,0.681159420289855,0.758064516129032
"89",2023,"Johan Rojas","PHI",59,149,164,45,32,9,2,2,24,23,5,0,42,4,0,6,1,14,1,0.302,0.03,0.256,0.128,0.41,0.342,0.43,0.335,109,2.7,4.6,1.4,"PHI","CF",88,0.536585365853659,0.590604026845638
"90",2023,"Austin Slater","SFG",89,185,207,50,36,9,0,5,24,20,20,0,58,2,0,0,2,2,2,0.27,0.097,0.28,0.13,0.369,0.348,0.4,0.33,110,0.1,2.7,0.9,"SFG","CF",82,0.396135265700483,0.443243243243243
"91",2023,"Blake Perkins","MIL",67,143,168,31,20,7,0,4,28,20,23,0,46,0,0,2,3,5,2,0.217,0.137,0.274,0.133,0.29,0.325,0.35,0.303,88,2.1,-0.3,1.2,"MIL","CF",80,0.476190476190476,0.559440559440559
"92",2023,"Harold Castro","COL",99,258,270,65,51,13,0,1,24,31,9,0,66,0,2,1,5,1,0,0.252,0.033,0.244,0.062,0.332,0.275,0.314,0.258,43,-0.8,-19.7,-1.6,"COL","CF",80,0.296296296296296,0.310077519379845
"93",2023,"Raimel Tapia","3 Tms",64,148,169,35,27,4,1,3,28,13,17,0,40,1,1,1,2,10,2,0.236,0.101,0.237,0.101,0.302,0.317,0.338,0.293,80,2.4,-1.7,0.1,"2 Tms","CF",78,0.461538461538462,0.527027027027027
"94",2023,"Oscar Colás","CHW",75,245,263,53,39,9,0,5,32,19,12,1,71,2,2,2,5,4,3,0.216,0.046,0.27,0.098,0.281,0.257,0.314,0.249,53,1.4,-13.5,-1.3,"CHW","CF",74,0.281368821292776,0.302040816326531
"95",2023,"Richie Palacios","STL",32,93,102,24,12,6,0,6,9,16,6,0,11,1,1,1,1,2,0,0.258,0.059,0.108,0.258,0.234,0.307,0.516,0.346,120,0.4,2.8,0.4,"STL","CF",70,0.686274509803922,0.752688172043011
"96",2023,"Parker Meadows","DET",37,125,145,29,20,4,2,3,19,13,17,1,37,2,1,0,0,8,1,0.232,0.117,0.255,0.136,0.302,0.331,0.368,0.308,94,3.5,2.5,1,"DET","CF",67,0.462068965517241,0.536
"97",2023,"Dylan Moore","SEA",67,145,165,30,13,9,1,7,18,19,16,0,56,4,0,0,1,7,3,0.207,0.097,0.339,0.221,0.28,0.303,0.428,0.317,105,0.6,1.6,0.7,"SEA","CF",66,0.4,0.455172413793103
