,SS.Season,SS.Name,SS.Team.x,SS.G,SS.AB,SS.PA,SS.H,SS.B1,SS.B2,SS.B3,SS.HR,SS.R,SS.RBI,SS.BB,SS.IBB,SS.SO,SS.HBP,SS.SF,SS.SH,SS.GDP,SS.SB,SS.CS,SS.AVG,SS.BB_perc,SS.K_perc,SS.ISO,SS.BABIP,SS.OBP,SS.SLG,SS.wOBA,SS.wRC.,SS.BsR,SS.Off,SS.WAR,SS.Team.y,SS.Position,SS.score,SS.perPA,SS.perAB
70,2023,Harold Castro,COL,99,258,270,65,51,13,0,1,24,31,9,0,66,0,2,1,5,1,0,0.252,0.033,0.244,0.062,0.332,0.275,0.314,0.258,43,-0.8,-19.7,-1.6,COL,SS,80,0.296296296,0.310077519
71,2023,Josh Smith,TEX,90,195,232,36,21,8,1,6,29,15,25,0,55,9,1,2,3,1,0,0.185,0.108,0.237,0.144,0.222,0.304,0.328,0.287,78,-1.3,-7.6,0,TEX,SS,79,0.340517241,0.405128205
72,2023,Tyler Freeman,CLE,64,153,168,37,26,7,0,4,20,18,10,0,30,2,1,2,3,5,0,0.242,0.06,0.179,0.124,0.275,0.295,0.366,0.29,84,1.5,-1.7,0.2,CLE,SS,79,0.470238095,0.516339869
73,2023,Liover Peguero,PIT,59,198,213,47,35,4,1,7,21,26,11,0,67,1,1,2,6,6,2,0.237,0.052,0.315,0.136,0.32,0.28,0.374,0.284,74,-0.6,-7.5,0,PIT,SS,71,0.333333333,0.358585859
74,2023,Noelvi Marte,CIN,35,114,123,36,26,7,0,3,15,15,8,0,25,1,0,0,1,6,2,0.316,0.065,0.203,0.14,0.384,0.366,0.456,0.357,120,0.9,3.9,0.7,CIN,SS,71,0.577235772,0.622807018
75,2023,Rodolfo Castro,2 Tms,92,227,256,48,35,7,0,6,21,24,23,1,74,5,1,0,4,1,4,0.211,0.09,0.289,0.11,0.284,0.297,0.322,0.277,69,-3.8,-13.5,-0.9,PIT,SS,69,0.26953125,0.303964758
76,2023,Dylan Moore,SEA,67,145,165,30,13,9,1,7,18,19,16,0,56,4,0,0,1,7,3,0.207,0.097,0.339,0.221,0.28,0.303,0.428,0.317,105,0.6,1.6,0.7,SEA,SS,66,0.4,0.455172414
77,2023,Nick Ahmed,ARI,72,198,210,42,29,10,1,2,14,17,12,0,52,0,0,0,0,5,1,0.212,0.057,0.248,0.091,0.278,0.257,0.303,0.247,51,-0.3,-13.1,0,ARI,SS,56,0.266666667,0.282828283
78,2023,Jose Barrero,CIN,46,133,149,29,19,8,0,2,15,17,15,0,44,0,1,0,1,3,2,0.218,0.101,0.295,0.105,0.307,0.295,0.323,0.276,65,0.5,-5.9,-0.3,CIN,SS,49,0.32885906,0.368421053
79,2023,David Fletcher,LAA,33,89,97,22,19,1,0,2,7,12,7,1,9,0,0,1,2,0,0,0.247,0.072,0.093,0.079,0.256,0.302,0.326,0.276,70,0.4,-3.1,0,LAA,SS,47,0.484536082,0.528089888
